name,epic,yahoo_ticker,sector,fiscal_year,currency,revenue,gross_profit,operating_income,net_income,gross_margin,operating_margin,net_margin,retrieved_at
ITV,ITV,ITV.L,Media,2024,GBP,3488000000.0,,318000000.0,408000000.0,,0.0912,0.117,2026-08-10
ITV,ITV,ITV.L,Media,2025,GBP,3511000000.0,,363000000.0,220000000.0,,0.1034,0.0627,2026-08-10
Ibstock,IBST,IBST.L,Construction & Materials,2022,GBP,512886000.0,196365000.0,100886000.0,86908000.0,0.3829,0.1967,0.1694,2026-08-10
Ibstock,IBST,IBST.L,Construction & Materials,2023,GBP,405839000.0,114956000.0,34570000.0,21060000.0,0.2833,0.0852,0.0519,2026-08-10
Ibstock,IBST,IBST.L,Construction & Materials,2024,GBP,366207000.0,104557000.0,28761000.0,15092000.0,0.2855,0.0785,0.0412,2026-08-10
Ibstock,IBST,IBST.L,Construction & Materials,2025,GBP,372104000.0,95983000.0,15794000.0,3074000.0,0.2579,0.0424,0.0083,2026-08-10
Inchcape,INCH,INCH.L,Retailers,2022,GBP,8133000000.0,1325000000.0,400000000.0,-11000000.0,0.1629,0.0492,-0.0014,2026-08-10
Inchcape,INCH,INCH.L,Retailers,2023,GBP,9382000000.0,1660000000.0,570000000.0,270000000.0,0.1769,0.0608,0.0288,2026-08-10
Inchcape,INCH,INCH.L,Retailers,2024,GBP,9263000000.0,1606000000.0,584000000.0,421000000.0,0.1734,0.063,0.0454,2026-08-10
Inchcape,INCH,INCH.L,Retailers,2025,GBP,9100000000.0,1550000000.0,563000000.0,272000000.0,0.1703,0.0619,0.0299,2026-08-10
IntegraFin Holdings,IHP,IHP.L,Financial Services,2022,GBP,133600000.0,131500000.0,26600000.0,44000000.0,0.9843,0.1991,0.3293,2026-08-10
IntegraFin Holdings,IHP,IHP.L,Financial Services,2023,GBP,134900000.0,131000000.0,68800000.0,49900000.0,0.9711,0.51,0.3699,2026-08-10
IntegraFin Holdings,IHP,IHP.L,Financial Services,2024,GBP,144900000.0,141900000.0,98900000.0,52100000.0,0.9793,0.6825,0.3596,2026-08-10
IntegraFin Holdings,IHP,IHP.L,Financial Services,2025,GBP,156800000.0,153400000.0,103900000.0,51300000.0,0.9783,0.6626,0.3272,2026-08-10
International Personal Finance,IPF,IPF.L,Financial Services,2022,GBP,577400000.0,,,56800000.0,,,0.0984,2026-08-10
International Personal Finance,IPF,IPF.L,Financial Services,2023,GBP,690900000.0,,,48000000.0,,,0.0695,2026-08-10
International Personal Finance,IPF,IPF.L,Financial Services,2024,GBP,655900000.0,,,60900000.0,,,0.0928,2026-08-10
International Personal Finance,IPF,IPF.L,Financial Services,2025,GBP,666200000.0,,,54200000.0,,,0.0814,2026-08-10
International Public Partnerships,INPP,INPP.L,Financial Services,2022,GBP,329722000.0,,,326897000.0,,,0.9914,2026-08-10
International Public Partnerships,INPP,INPP.L,Financial Services,2023,GBP,30860000.0,,,27861000.0,,,0.9028,2026-08-10
International Public Partnerships,INPP,INPP.L,Financial Services,2024,GBP,3471000.0,,,465000.0,,,0.134,2026-08-10
International Public Partnerships,INPP,INPP.L,Financial Services,2025,GBP,267760000.0,,,263704000.0,,,0.9849,2026-08-10
International Workplace Group,IWG,IWG.L,Support Services,2022,USD,3432000000.0,628000000.0,-118000000.0,-188000000.0,0.183,-0.0344,-0.0548,2026-08-10
International Workplace Group,IWG,IWG.L,Support Services,2023,USD,3764000000.0,885000000.0,77000000.0,-207000000.0,0.2351,0.0205,-0.055,2026-08-10
International Workplace Group,IWG,IWG.L,Support Services,2024,USD,3690000000.0,1104000000.0,517000000.0,20000000.0,0.2992,0.1401,0.0054,2026-08-10
International Workplace Group,IWG,IWG.L,Support Services,2025,USD,3762000000.0,1031000000.0,174000000.0,18000000.0,0.2741,0.0463,0.0048,2026-08-10
Investec,INVP,INVP.L,Financial Services,2023,GBP,1881609000.0,,,804865000.0,,,0.4278,2026-08-10
Investec,INVP,INVP.L,Financial Services,2024,GBP,1990462000.0,,,941040000.0,,,0.4728,2026-08-10
Investec,INVP,INVP.L,Financial Services,2025,GBP,2114727000.0,,,693482000.0,,,0.3279,2026-08-10
Investec,INVP,INVP.L,Financial Services,2026,GBP,2190510000.0,,,724507000.0,,,0.3307,2026-08-10
